# conflictIndex, flightIndex1, flightIndex2, lat1, lon1, time1, lat2, lon2, time2
114, 321, 327, 33.518398, -96.451553, 1071.000000, 33.523087, -96.449142, 1069.000000
115, 321, 0, 33.411266, -96.553101, 1072.000000, 33.405216, -96.542885, 1110.000000
116, 349, 370, 33.513493, -96.444237, 1092.000000, 33.510174, -96.440498, 1109.000000
117, 399, 357, 33.460365, -92.657982, 1105.000000, 33.460365, -92.657982, 1077.000000
118, 731, 1365, 33.715546, -85.864059, 1343.000000, 33.715546, -85.864059, 1369.000000
119, 139, 67, 33.636719, -84.428062, 80.000000, 33.636719, -84.428062, 139.000000
120, 190, 139, 33.636719, -84.428062, 66.000000, 33.636719, -84.428062, 80.000000
121, 67, 139, 33.636719, -84.428062, 139.000000, 33.636719, -84.428062, 80.000000
122, 67, 0, 33.723808, -84.307266, 140.000000, 33.725449, -84.309128, 195.000000
123, 147, 147, 33.725384, -84.301102, 154.000000, 33.723808, -84.307266, 140.000000
124, 114, 67, 33.636719, -84.428062, 194.000000, 33.636719, -84.428062, 139.000000
125, 166, 0, 33.725830, -84.307404, 291.000000, 33.733597, -84.305847, 349.000000
126, 167, 166, 33.636719, -84.428062, 348.000000, 33.636719, -84.428062, 290.000000
127, 425, 251, 33.636719, -84.428062, 472.000000, 33.636719, -84.428062, 429.000000
128, 425, 0, 33.732090, -84.304878, 473.000000, 33.731953, -84.303841, 521.000000
129, 98, 733, 33.636719, -84.428062, 643.000000, 33.636719, -84.428062, 666.000000
130, 723, 655, 33.636719, -84.428062, 897.000000, 33.636719, -84.428062, 905.000000
131, 723, 723, 33.724545, -84.313705, 898.000000, 33.726009, -84.304420, 881.000000
132, 768, 655, 33.636719, -84.428062, 861.000000, 33.636719, -84.428062, 905.000000
133, 768, 723, 33.729809, -84.308853, 862.000000, 33.726009, -84.304420, 881.000000
134, 906, 655, 33.636719, -84.428062, 878.000000, 33.636719, -84.428062, 905.000000
135, 906, 723, 33.723808, -84.307266, 879.000000, 33.726009, -84.304420, 881.000000
136, 957, 655, 33.636719, -84.428062, 853.000000, 33.636719, -84.428062, 905.000000
137, 277, 655, 33.636719, -84.428062, 943.000000, 33.636719, -84.428062, 905.000000
138, 655, 723, 33.722893, -84.311829, 906.000000, 33.726009, -84.304420, 881.000000
139, 685, 655, 33.636719, -84.428062, 940.000000, 33.636719, -84.428062, 905.000000
140, 300, 300, 33.636719, -84.428062, 1018.000000, 33.636719, -84.428062, 997.000000
141, 300, 361, 33.636719, -84.428062, 1018.000000, 33.636719, -84.428062, 1054.000000
142, 755, 300, 33.636719, -84.428062, 1016.000000, 33.636719, -84.428062, 997.000000
143, 755, 361, 33.636719, -84.428062, 1016.000000, 33.636719, -84.428062, 1054.000000
144, 771, 300, 33.636719, -84.428062, 998.000000, 33.636719, -84.428062, 997.000000
145, 771, 361, 33.636719, -84.428062, 998.000000, 33.636719, -84.428062, 1054.000000
146, 781, 300, 33.636719, -84.428062, 1019.000000, 33.636719, -84.428062, 997.000000
147, 781, 361, 33.636719, -84.428062, 1019.000000, 33.636719, -84.428062, 1054.000000
148, 360, 408, 33.636719, -84.428062, 1054.000000, 33.636719, -84.428062, 1106.000000
149, 366, 360, 33.636719, -84.428062, 1092.000000, 33.636719, -84.428062, 1052.000000
150, 366, 408, 33.636719, -84.428062, 1092.000000, 33.636719, -84.428062, 1106.000000
151, 390, 360, 33.636719, -84.428062, 1106.000000, 33.636719, -84.428062, 1052.000000
152, 408, 408, 33.636719, -84.428062, 1127.000000, 33.636719, -84.428062, 1106.000000
153, 416, 408, 33.636719, -84.428062, 1117.000000, 33.636719, -84.428062, 1106.000000
154, 444, 408, 33.636719, -84.428062, 1115.000000, 33.636719, -84.428062, 1106.000000
155, 500, 360, 33.636719, -84.428062, 1097.000000, 33.636719, -84.428062, 1052.000000
156, 500, 408, 33.636719, -84.428062, 1097.000000, 33.636719, -84.428062, 1106.000000
157, 801, 360, 33.636719, -84.428062, 1085.000000, 33.636719, -84.428062, 1052.000000
158, 801, 408, 33.636719, -84.428062, 1085.000000, 33.636719, -84.428062, 1106.000000
159, 835, 360, 33.636719, -84.428062, 1083.000000, 33.636719, -84.428062, 1052.000000
160, 835, 408, 33.636719, -84.428062, 1083.000000, 33.636719, -84.428062, 1106.000000
161, 458, 535, 33.636719, -84.428062, 1197.000000, 33.636719, -84.428062, 1203.000000
162, 558, 558, 33.636719, -84.428062, 1156.000000, 33.636719, -84.428062, 1197.000000
163, 890, 558, 33.636719, -84.428062, 1156.000000, 33.636719, -84.428062, 1197.000000
164, 535, 535, 33.636719, -84.428062, 1244.000000, 33.636719, -84.428062, 1203.000000
165, 545, 535, 33.636719, -84.428062, 1228.000000, 33.636719, -84.428062, 1203.000000
166, 949, 535, 33.636719, -84.428062, 1256.000000, 33.636719, -84.428062, 1203.000000
167, 640, 815, 33.636719, -84.428062, 1362.000000, 33.636719, -84.428062, 1345.000000
168, 640, 0, 33.636719, -84.428062, 1362.000000, 33.636719, -84.428062, 1411.000000
169, 815, 0, 33.636719, -84.428062, 1345.000000, 33.636719, -84.428062, 1289.000000
170, 838, 815, 33.636719, -84.428062, 1356.000000, 33.636719, -84.428062, 1345.000000
171, 838, 0, 33.636719, -84.428062, 1356.000000, 33.636719, -84.428062, 1411.000000
172, 845, 815, 33.636719, -84.428062, 1363.000000, 33.636719, -84.428062, 1345.000000
173, 845, 0, 33.636719, -84.428062, 1363.000000, 33.636719, -84.428062, 1411.000000
174, 641, 815, 33.636719, -84.428062, 1395.000000, 33.636719, -84.428062, 1362.000000
175, 644, 815, 33.636719, -84.428062, 1411.000000, 33.636719, -84.428062, 1362.000000
176, 116, 38, 33.581642, -76.885170, 77.000000, 33.581642, -76.885170, 115.000000
177, 84, 0, 33.497452, -75.639214, 316.000000, 33.497452, -75.639214, 305.000000
