conflictIndex,flight1,flight2,lat1,lat2,lon1,lon2,time1,time2
4935,347,352,42.41644287109375,42.423343658447266,-73.12225341796875,-73.29769897460938,965.0,957.0
4936,347,356,51.82109069824219,51.82910919189453,4.462880611419678,4.593226432800293,542.0,547.0
4937,347,362,51.82923889160156,51.83567810058594,-66.33161163330078,-65.86048889160156,871.0,912.0
4938,347,362,40.63975143432617,40.63975143432617,-73.77892303466797,-73.77892303466797,982.0,1026.0
4939,347,364,45.55238342285156,45.55195236206055,-71.8028793334961,-71.198486328125,934.0,985.0
4940,347,369,42.41644287109375,42.41698455810547,-73.12225341796875,-72.95826721191406,965.0,981.0
4941,347,371,54.93608474731445,54.940067291259766,-60.75739288330078,-60.93090057373047,835.0,850.0
4942,347,371,45.55238342285156,45.55037307739258,-71.8028793334961,-72.03887176513672,934.0,950.0
4943,347,371,40.63975143432617,40.63975143432617,-73.77892303466797,-73.77892303466797,982.0,996.0
4944,347,373,42.41644287109375,42.419349670410156,-73.12225341796875,-72.70652770996094,965.0,969.0
4945,347,373,40.63975143432617,40.63975143432617,-73.77892303466797,-73.77892303466797,982.0,986.0
4946,347,375,42.41644287109375,42.42170333862305,-73.12225341796875,-73.29295349121094,965.0,983.0
4947,347,376,51.82923889160156,51.82291793823242,-66.33161163330078,-66.70819854736328,871.0,890.0
4948,347,381,42.278221130371094,42.280879974365234,11.999547004699707,11.939629554748535,460.0,502.0
4949,347,384,54.91847610473633,54.91966247558594,1.117491364479065,1.2407385110855103,568.0,603.0
4950,347,384,58.08573913574219,58.07790756225586,-5.115828990936279,-5.204585075378418,604.0,639.0
4951,347,391,48.71617889404297,48.72260665893555,-69.43108367919922,-69.59391021728516,902.0,930.0
4952,347,395,40.63975143432617,40.63975143432617,-73.77892303466797,-73.77892303466797,982.0,1014.0
4953,347,403,59.64503479003906,59.63959884643555,-46.00306701660156,-46.0068473815918,762.0,815.0
4954,347,405,59.083351135253906,59.07939910888672,-48.533485412597656,-48.539432525634766,773.0,818.0
4955,347,405,51.82923889160156,51.83776092529297,-66.33161163330078,-66.05779266357422,871.0,915.0
4956,347,405,44.291526794433594,44.28719711303711,-72.39398193359375,-72.39674377441406,947.0,991.0
4957,347,406,42.41644287109375,42.4212646484375,-73.12225341796875,-72.8533706665039,965.0,1013.0
